n_runs,mean_final_wealth,std_final_wealth,mean_mean_step_pnl,mean_std_step_pnl,mean_sharpe_like,min_final_wealth,max_final_wealth,final_wealth_p05,mean_final_inventory,mean_abs_inventory,mean_inventory_std,mean_bid_fills,mean_ask_fills,mean_total_fills,mean_fill_imbalance,mean_max_drawdown,mean_mean_drawdown,max_of_max_drawdown,mean_bid_change_std,mean_ask_change_std,mean_spread_change_std,scmm_alpha_q,scmm_alpha_f,scmm_beta_q,scmm_beta_d,beats_as_sharpe,beats_as_drawdown,beats_as_inventory,accept_core
30,23.47517491619766,5.471001705597783,0.046856636559276764,0.30137493934024057,0.15564677357653334,12.890547134167576,32.447994868231106,14.732706211345832,-0.1,0.46387225548902206,0.6969484753859913,11.733333333333333,11.833333333333334,23.566666666666666,1.1666666666666667,2.222498172334435,0.37802662456416,4.898219810534229,0.31892838893777614,0.31919984889600683,0.02217586926276717,0.1,0.0,0.05,0.01,True,True,True,True
30,23.40569507615136,5.486712620492692,0.04671795424381509,0.30088221666079407,0.15542123148506412,12.9077425714392,32.47357547892115,14.744587533290208,-0.1,0.463140385894877,0.6963320731981253,11.666666666666666,11.766666666666667,23.433333333333334,1.1666666666666667,2.2208872986979737,0.37958757533600346,4.878461866940384,0.3184614931365948,0.3186905412804679,0.022461500693115664,0.1,0.0,0.05,0.015,True,True,True,True
30,23.41092013012457,5.470456892022174,0.046728383493262596,0.3010621332156609,0.15539307268787442,12.855862337658095,32.396574304787194,14.708814478287797,-0.1,0.46387225548902206,0.6969484753859913,11.733333333333333,11.833333333333334,23.566666666666666,1.1666666666666667,2.2257199196073563,0.38183574875225007,4.937735697721905,0.31893230617284724,0.3191893206370675,0.021996698595229656,0.1,0.0,0.05,0.0,True,True,True,True
30,23.3891062590803,5.336388495174645,0.0466848428324956,0.3013766105365849,0.15510956807145038,12.830547134167574,31.346973655741778,14.70570621134583,-0.1,0.4594810379241518,0.6928026774646413,11.766666666666667,11.866666666666667,23.633333333333333,1.1666666666666667,2.2324981723344357,0.37866105381599896,4.898219810534229,0.3203419770503671,0.3206140474659995,0.022191310396369828,0.1,0.03,0.05,0.01,True,True,True,True
30,23.35728246449758,5.351669693465298,0.04662132228442631,0.3012546283878265,0.15497549296699795,12.85054713416757,31.386973655741798,14.71470621134583,-0.1,0.46114437791084506,0.693890866015631,11.733333333333333,11.833333333333334,23.566666666666666,1.1666666666666667,2.229164839001102,0.3788337587511956,4.898219810534229,0.3198375212281783,0.32010288512905344,0.022167960780136955,0.1,0.02,0.05,0.01,True,True,True,True
30,23.320385629603564,5.3513320961744375,0.04654767590739233,0.3008850212653623,0.15488764588488976,12.847742571439198,31.36166662886778,14.717587533290207,-0.1,0.4587491683300068,0.6921862752767755,11.7,11.8,23.5,1.1666666666666667,2.230887298697974,0.38023675181455213,4.878461866940384,0.31987404755135607,0.3201003510049235,0.022479030434180324,0.1,0.03,0.05,0.015,True,True,True,True
30,23.324150521701952,5.335407433877576,0.04655519066207976,0.301062647824398,0.1548517511022653,12.795862337658093,31.31731311354534,14.681814478287796,-0.1,0.4594810379241518,0.6928026774646413,11.766666666666667,11.866666666666667,23.633333333333333,1.1666666666666667,2.2364211464307346,0.3825618867672494,4.937735697721905,0.3203462260593418,0.32060349538969196,0.02202281394715466,0.1,0.03,0.05,0.0,True,True,True,True
30,23.288032883533997,5.366114486153039,0.046483099567932125,0.3007622522067479,0.15475112303232438,12.867742571439194,31.4016666288678,14.726587533290205,-0.1,0.46041250831670005,0.6932744638277651,11.666666666666666,11.766666666666667,23.433333333333334,1.1666666666666667,2.2275539653646406,0.38042513396427674,4.878461866940384,0.31936722897617786,0.3195935056416667,0.022450571079371474,0.1,0.02,0.05,0.015,True,True,True,True
30,23.292443440726647,5.350828433833194,0.046491903075302696,0.3009405391989646,0.15471809372134102,12.81586233765809,31.35731311354536,14.690814478287795,-0.1,0.46114437791084506,0.693890866015631,11.733333333333333,11.833333333333334,23.566666666666666,1.1666666666666667,2.232421146430734,0.38272338734878464,4.937735697721905,0.31984360282149116,0.3200904430655933,0.021996298259861918,0.1,0.02,0.05,0.0,True,True,True,True
30,23.17164881506557,5.479643180033148,0.04625079603805505,0.3001146000100448,0.15420058474736761,12.680847134167564,31.908894868231144,14.512341211345827,-0.1,0.45595475715236206,0.6959576219688822,11.833333333333334,11.933333333333334,23.766666666666666,1.1666666666666667,2.2404981723344353,0.38649646052751147,4.958219810534231,0.32000995523883696,0.3202064646509405,0.010593743962867235,0.1,0.0,0.02,0.01,True,True,True,True
